Facility_Name,Month_Year,Aggregated_Traffic_Volume,Freeflow,Avg_Speed,Direction,Delta
GWB Lower,2024-01,1685357.0,45.9,34.5,WB,-11.4
GWB Lower,2024-01,1685357.0,46.05,25.6,EB,-20.5
GWB Lower,2024-02,1673098.0,45.9,32.2,WB,-13.7
GWB Lower,2024-02,1673098.0,46.1,22.5,EB,-23.6
GWB Lower,2024-03,1877547.0,45.9,32.4,WB,-13.5
GWB Lower,2024-03,1877547.0,46.1,19.8,EB,-26.3
GWB Lower,2024-04,1814755.0,45.9,32.4,WB,-13.5
GWB Lower,2024-04,1814755.0,46.1,21.4,EB,-24.7
GWB Lower,2024-05,1910081.0,45.9,31.8,WB,-14.1
GWB Lower,2024-05,1910081.0,46.1,19.0,EB,-27.0
GWB Lower,2024-06,1877320.0,45.9,31.3,WB,-14.6
GWB Lower,2024-06,1877320.0,46.1,19.7,EB,-26.3
GWB Lower,2024-07,2015650.0,45.9,32.1,WB,-13.9
GWB Lower,2024-07,2015650.0,46.1,21.6,EB,-24.5
GWB Lower,2024-08,2043379.0,45.9,30.0,WB,-15.9
GWB Lower,2024-08,2043379.0,46.1,18.7,EB,-27.3
GWB Lower,2024-09,1957049.0,45.9,31.4,WB,-14.5
GWB Lower,2024-09,1957049.0,46.1,21.1,EB,-25.0
GWB Lower,2024-10,2047476.0,45.9,31.7,WB,-14.2
GWB Lower,2024-10,2047476.0,46.1,21.3,EB,-24.8
GWB Lower,2024-11,1869812.0,45.9,31.8,WB,-14.1
GWB Lower,2024-11,1869812.0,46.1,21.5,EB,-24.6
GWB Lower,2024-12,1917583.0,45.9,45.9,WB,-15.5
GWB Lower,2024-12,1917583.0,46.1,20.1,EB,-25.9
GWB Lower,2025-01,1688221.0,46.1,30.0,EB,-16.0
GWB Lower,2025-01,1688221.0,45.9,32.8,WB,-13.2
GWB Lower,2025-02,1618926.0,46.1,25.4,EB,-20.7
GWB Lower,2025-02,1618926.0,45.9,32.2,WB,-13.7
GWB Lower,2025-03,1893512.0,46.1,30.5,EB,-23.2
GWB Lower,2025-03,1893512.0,45.9,32.2,WB,-13.7
GWB Lower,2025-04,1796014.0,46.1,22.8,EB,-23.3
GWB Lower,2025-04,1796014.0,45.9,30.8,WB,-15.1
